6481 東証1部 ＴＨＫ(株)（機械）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","2250","2282","2209","2223","982400","2223"
"2016-01-05","2222","2275","2212","2223","1240600","2223"
"2016-01-06","2236","2271","2147","2155","1178000","2155"
"2016-01-07","2151","2162","2067","2067","1584900","2067"
"2016-01-08","2051","2119","2051","2082","1337500","2082"
"2016-01-12","2047","2098","2026","2078","2400100","2078"
"2016-01-13","2155","2261","2150","2200","2444100","2200"
"2016-01-14","2150","2177","2093","2139","2060000","2139"
"2016-01-15","2183","2207","2133","2147","1889800","2147"
"2016-01-18","2047","2080","2010","2063","2687800","2063"
"2016-01-19","2055","2094","2034","2086","1151000","2086"
"2016-01-20","2092","2096","1964","1973","1668700","1973"
"2016-01-21","1995","2029","1924","1925","1472600","1925"
"2016-01-22","2020","2044","1998","2039","1525700","2039"
"2016-01-25","2061","2069","2006","2023","1379100","2023"
"2016-01-26","1998","2004","1951","1953","839100","1953"
"2016-01-27","2006","2043","1994","2034","964400","2034"
"2016-01-28","2020","2039","1977","1977","1050100","1977"
"2016-01-29","1780","1908","1779","1896","3390800","1896"
"2016-02-01","1925","1963","1912","1952","1509800","1952"
"2016-02-02","1923","1938","1873","1880","2187100","1880"
"2016-02-03","1805","1820","1770","1784","1878500","1784"
"2016-02-04","1773","1842","1766","1811","1010800","1811"
"2016-02-05","1794","1827","1777","1809","1594300","1809"
"2016-02-08","1789","1888","1768","1866","1306500","1866"
"2016-02-09","1812","1820","1771","1793","1981200","1793"
"2016-02-10","1816","1823","1721","1739","2081700","1739"
"2016-02-12","1819","1849","1771","1791","3016900","1791"
"2016-02-15","1863","1996","1847","1984","1726600","1984"
"2016-02-16","1955","2056","1942","2033","1487100","2033"
"2016-02-17","2033","2065","1944","1967","1391500","1967"
"2016-02-18","2021","2063","2003","2029","1220000","2029"
"2016-02-19","1999","2016","1948","1970","924400","1970"
"2016-02-22","1948","1994","1931","1969","628500","1969"
"2016-02-23","1976","2029","1954","1959","822200","1959"
"2016-02-24","1927","1944","1886","1926","795900","1926"
"2016-02-25","1850","1909","1835","1885","2054300","1885"
"2016-02-26","1911","1943","1911","1928","911200","1928"
"2016-02-29","1951","1995","1923","1923","875700","1923"
"2016-03-01","1883","1912","1838","1876","1337200","1876"
"2016-03-02","1904","2014","1904","2007","1127000","2007"
"2016-03-03","2005","2071","2001","2054","888300","2054"
"2016-03-04","2025","2106","2012","2104","1045800","2104"
"2016-03-07","2071","2104","2063","2094","728400","2094"
"2016-03-08","2094","2152","2073","2107","1235500","2107"
"2016-03-09","2070","2078","2021","2076","979900","2076"
"2016-03-10","2102","2135","2102","2130","818800","2130"
"2016-03-11","2089","2102","2036","2095","1157100","2095"
"2016-03-14","2124","2124","2077","2107","1025600","2107"
"2016-03-15","2084","2095","2047","2062","1132900","2062"
"2016-03-16","2023","2046","1998","2032","930700","2032"
"2016-03-17","2053","2074","2009","2024","736700","2024"
"2016-03-18","2006","2033","1973","1989","948600","1989"
"2016-03-22","2029","2070","1999","2029","854700","2029"
"2016-03-23","2021","2033","1979","2000","580600","2000"
"2016-03-24","2004","2015","1959","1968","704600","1968"
"2016-03-25","1977","2025","1954","2023","492600","2023"
"2016-03-28","2048","2090","2043","2090","1030500","2090"
"2016-03-29","2057","2082","2037","2071","729200","2071"
"2016-03-30","2071","2104","2049","2076","624000","2076"
"2016-03-31","2071","2135","2064","2076","1263000","2076"
"2016-04-01","2071","2073","1955","1962","751400","1962"
